Name,Glass,Main Alcohol,Ingredients,Ingredients2,Ingredients3,Ingredients4,Ingredients5,Ingredients6,Ingredients7,Garnish,Alcoholicity,Taste(Sweet),Technique,Color,TPO,VideoLink,Tag,설명,ImageURL
Sea Breeze,Highball,"Vodka, 45ml","Cranberry Juice, 90ml","Grapefruit Juice, 15ml",,,,,,Maraschino cherry,2,3,Build,Red,Yes,https://www.youtube.com/watch?v=EuDqLyiOkRo,시 브리즈,,https://bellyfull.net/wp-content/uploads/2021/04/Seabreeze-Cocktail-blog-2.jpg
Bay Breeze,Highball,"Vodka, 45ml","Cranberry Juice, 90ml","Pineapple Juice, 15ml",,,,,,Maraschino cherry,2,3,Build,Red,No,https://www.youtube.com/watch?v=vXiJn4iLeMk,베이 브리즈,,https://w7.pngwing.com/pngs/418/217/png-transparent-cocktail-garnish-bay-breeze-sea-breeze-bloody-mary-cola-ice-glass-cocktail-non-alcoholic-beverage-orange-drink.png
Madras,Highball,"Vodka, 45ml","Cranberry Juice, 90ml","Orange Juice, 15ml",,,,,,Maraschino cherry,2,3,Build,Orange,No,https://www.youtube.com/watch?v=ZqkC6frr0wM,마드라스,,https://i1.wp.com/familyaroundthetable.com/wp-content/uploads/2020/11/Madras.jpg?resize=720%2C720&ssl=1
Sex On The Beach,Hurricane,"Vodka, 45ml","Peach Schnapps, 15ml","Cranberry Juice, 60ml","Orange Juice, 60ml",,,,,Maraschino cherry,2,4,Shake,Orange,No,https://www.youtube.com/watch?v=d8tJn3OPGgE,섹스 온 더 비치,,https://dailyshotassets.s3-accelerate.amazonaws.com/media/cocktails/%25Y/%25m/%25d/2db27626-ee21-4497-aafe-ad8c15b42dde.jpg
Slow Comfortable Screw,"Highball, Hurricane","Sloe Gin, 30ml","Vodka, 30ml","Southern Comfort, 30ml","Orange Juice, Fill up",,,,,Maraschino cherry,3,2,Build,Orange,No,https://www.youtube.com/watch?v=tdWs2VippI4,슬로 컴퍼터블 스크류,,https://cdn.cdkitchen.com/recipes/images/2016/04/7806-5723-mx.jpg
Bocci Ball,Highball,"Amaretto, 15ml","Orange Juice, 60ml","Soda, Fill up",,,,,,Orange Slice,2,3,Build,Orange,No,https://www.youtube.com/watch?v=lPLqWJFC8og,보씨 볼,,"https://www.thespruceeats.com/thmb/9qjXni9LZaiIW__F3Evr_mnKjEA=/2121x1414/filters:fill(auto,1)/bocceball-5c4b686046e0fb0001ddddfc.jpg"
Melon Ball,"Martini, Highball","Vodka, 30ml","Midori, 60ml","Orange Juice, Fill up",,,,,,Melon,2,4,Build,Green,No,https://www.youtube.com/watch?v=fPAVHoO854g,"멜론 볼, 메론 볼",,https://i.pinimg.com/474x/26/be/93/26be93670d4bfedfe317481b04bd0ba4.jpg
Fuzzy Navel,Highball,"Peach Schnapps, 60ml","Orange Juice, 120ml",,,,,,,Orange Slice,2,5,Build,Orange,No,https://www.youtube.com/watch?v=wLdLJrHJEZ8,퍼지 네이블,,https://blog.kakaocdn.net/dn/2V0Tl/btqJxIu513r/ppUiTZuYq8YK46DKLjpsG0/img.jpg
Brandy Alexander,Cocktail stemmed,"Brandy, 22.5ml","Brown Creme de Cacao, 22.5ml","Cream, 22.5ml",,,,,,Nutmeg Powder,3,3,Shake,Yellow,Yes,https://www.youtube.com/watch?v=9gelfaXaCME,브랜디 알렉산더,,https://lh3.googleusercontent.com/proxy/9n_j9elZrgzYzjZ0y5TeJ_uyAIF8kdsYWnF3I1qGYDPemVccldaw0B14zNbw73x9B8MRISn7udF5tKqz_-_3pXiNfSN5xjTk-4Z5SNO3beMN_GrxLcMjTQ_mderUyR7ta7lAIawjLmg9JRsEhVIPuxLe4oBFUzrwCb93ITLjDOz7ncVbPPmJDhmOP6up6D37m6n7D8jZ1BUgWQ
Golden Cadillac,Cocktail stemmed,"Galliano, 30ml","White Creme de Cacao, 30ml","Cream, 30ml",,,,,,Nutmeg Powder,3,3,Shake,White,No,https://www.youtube.com/watch?v=nASK7Z5C538,골든 캐딜락,,https://blog.kakaocdn.net/dn/ceTFUE/btqzmj7NJB8/cmMkDkXBSkCsizIumfcZn1/img.jpg
