Name,Glass,Main Alcohol,Ingredients,Ingredients2,Ingredients3,Ingredients4,Ingredients5,Ingredients6,Ingredients7,Garnish,Alcoholicity,Taste(Sweet),Technique,Color,TPO,VideoLink,Tag,설명,ImageURL
Bacardi,Cocktail stemmed,"Light Rum, 52.5ml (Bacardi)","Lime Juice, 22.5ml","Grenadine, 1 Step",,,,,,,3,3,Shake,Red,Yes,https://www.youtube.com/watch?v=Yp0y3m7oq8A,바카디,,https://www.liquor.com/thmb/A5hCX9xZCZ5iXv9gOv7KhgYJE6U=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__liquor__2017__11__14145228__bacardi-cocktail-720x720-recipe-77d6a74767654d449b9d6fecc00f39f0.jpg
Margarita,"Cocktail, Margarita","Tequila, 45ml","Triple Sec, 15ml","Lime Juice, 15ml",,,,,,Rimming with Salt,3,1,Shake,Yellow,Yes,https://www.youtube.com/watch?v=4anQ-iAh3fE,마가리타,,https://www.liquor.com/thmb/DMKen5LEhU_DPCpNPKkIkm-Cmpg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/margarita-720x720-primary-f4a3b044e9a746d9b88890515c3a7328.jpg
Blue Margarita,"Cocktail, Margarita","Tequila, 45ml","Blue Curacao, 15ml","Lime Juice, 15ml",,,,,,Rimming with Salt,3,1,Shake,Blue,No,https://www.youtube.com/watch?v=EAMCpC4MLuk,블루 마가리타,,https://es1-ladleandspricell.netdna-ssl.com/wp-content/uploads/2014/01/blue-margarita-680-480x270.jpg
Long Island Iced Tea,Collins,"Vodka, 15ml","Tequila Blanco, 15ml","Gin, 15ml","Light Rum, 15ml","Triple Sec, 15ml","Sweet and Sour, 45ml","Cola, Fill up",,A Wedge of Lime or Lemon,3,3,Build,Brown,Yes,https://www.youtube.com/watch?v=MktCrcnJQ3s,롱아일랜드 아이스티,,https://www.liquor.com/thmb/Ej3ZdlO5BANMiM_XKVieuCWhgwQ=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__03__14090749__Long-Island-Iced-Tea-720x720-article-272623f47e80457594178a552f708068.jpg
Electric Iced Tea,Collins,"Vodka, 15ml","Tequila Blanco, 15ml","Gin, 15ml","Light Rum, 15ml","Blue Curacao, 15ml","Sweet and Sour, 45ml","Soda, Fill up",,A Wedge of Lime or Lemon,3,3,Build,Blue,No,https://www.youtube.com/watch?v=r5s3nLgyNrg,일렉트릭 아이스티,,https://media-cdn.tripadvisor.com/media/photo-s/0d/de/2e/ed/electric-iced-tea.jpg
Long Beach Iced Tea,Collins,"Vodka, 15ml","Tequila Blanco, 15ml","Gin, 15ml","Light Rum, 15ml","Triple Sec, 15ml","Sweet and Sour, 45ml","Cranberry Juice, Fill up",,A Wedge of Lime or Lemon,3,3,Build,Red,No,https://www.youtube.com/watch?v=gS6HD3qi3vQ,롱비치 아이스티,,https://mixthatdrink.com/wp-content/uploads/2020/03/long-beach-iced-tea-750x1125.jpg
Tokyo Tea,Collins,"Vodka, 15ml","Tequila Blanco, 15ml","Gin, 15ml","Light Rum, 15ml","Triple Sec, 15ml","Midori, 15ml","Sweet and Sour, 30ml","Soda, Fill up",A Wedge of Lime or Lemon,3,3,Build,Green,No,https://www.youtube.com/watch?v=-H8cjvjmvhg,도쿄티,,https://www.liquor.com/thmb/CbKMV7nDaqj-6HH4S4EWK49lbrQ=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__07__12151422__tokyo-tea-720x720-recipe-a1694dc32cf04380916433a92294133b.jpg
Adios MOTHERFXXCKER,Collins,"Vodka, 15ml","Tequila Blanco, 15ml","Gin, 15ml","Light Rum, 15ml","Blue Curacao, 15ml","Sweet and Sour, 15ml","Soda, Fill up",,A Wedge of Lime or Lemon,3,3,Build,Blue,No,https://www.youtube.com/watch?v=Y_jFdR_JSoU,아디오스. 뻐커,,https://static.wikia.nocookie.net/cocktails/images/c/c3/Adios-motherfucker.jpg/revision/latest?cb=20150703181947
Lynchburg Lemonade,Collins,"Jack Daniels, 30ml","Triple Sec, 30ml","Sweet and Sour, 30ml","Soda, Fill up",,,,,Lemon Slice,3,3,Build,Yellow,No,https://www.youtube.com/watch?v=2A0MMCpD-aU,린치버그 레모네이드,,https://cdn.diffords.com/contrib/stock-images/2020/05/5ebd5e522c310.jpg
Vodka Collins,Collins,"Vodka, 30ml","Sweet and Sour, 60ml","Soda, Fill up",,,,,,Lemon Slice,2,3,Build,White,No,https://www.youtube.com/watch?v=pBOI1k2jAVg,보드카 콜린스,,"https://www.thespruceeats.com/thmb/4ghvbepIFct_NNMi2dRILd5-fX8=/3000x4417/filters:fill(auto,1)/vodka-collins-recipe-761207_05-5b1eac3f3037130036e0467e.jpg"
Tom Collins,Collins,"Gin, 30ml","Sweet and Sour, 60ml","Soda, Fill up",,,,,,Lemon Slice,2,3,Build,White,No,https://www.youtube.com/watch?v=pBOI1k2jAVg,톰 콜린스,,"https://www.liquor.com/thmb/mzWX6QRT7_X2mV2RNf1476ULHyc=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__04__03080950__Tom-Collins-720x720-recipe-e87bf7954cdb4438b5e8d21f568cdd6f.jpg"
Joe Collins,Collins,"Scotch, 30ml","Sweet and Sour, 60ml","Soda, Fill up",,,,,,Lemon Slice,2,3,Build,Brown,No,https://www.youtube.com/watch?v=pBOI1k2jAVg,조 콜린스,,http://img1.sweetcocktails.com/content/cocktails-recipes/1/joe-collins.jpg
John Collins,Collins,"Bourbon, 30ml","Sweet and Sour, 60ml","Soda, Fill up",,,,,,Lemon Slice,2,3,Build,Brown,No,https://www.youtube.com/watch?v=pBOI1k2jAVg,존 콜린스,,https://m8g5e5y2.stackpathcdn.com/wp-content/uploads/2014/06/aviation-collins-gin-recipe.jpg
Joan Collins,Collins,"Brandy, 30ml","Sweet and Sour, 60ml","Soda, Fill up",,,,,,Lemon Slice,2,3,Build,Brown,No,https://www.youtube.com/watch?v=pBOI1k2jAVg,"조안 콜린스, 죠안 콜린스",,https://m8g5e5y2.stackpathcdn.com/wp-content/uploads/2014/06/aviation-collins-gin-recipe.jpg
Sloe Gin Fizz,Collins,"Sloe Gin, 45ml","Lemon Juice, 15ml","Sugar, 1 Step","Soda, Fill up",,,,,Lemon Slice,2,3,"Shake, Build",Brown,Yes,https://www.youtube.com/watch?v=VQy6MW9Pcks,슬로 진 피즈,,https://www.liquor.com/thmb/lObNdBCkXMPRXs-B-xIAnnQcOuA=/720x720/smart/filters:no_upscale()/sloe-gin-fizz-720x720-recipe-efa104c8bfd64d38a8909da22a45d0c2.jpg
Mai Tai,Footed Pilsner,"Light Rum, 37.5ml","Triple Sec, 22.5ml","Lime Juice, 30ml","Pineapple Juice, 30ml","Orange Juice, 30ml","Grenadine, 7.5ml",,,A Wedge of Fresh Pineapple & Maraschino cherry,2,4,Blending,Orange,Yes,https://www.youtube.com/watch?v=0LZAdSJyg-U,마이타이,,https://www.liquor.com/thmb/X2NZaC6EGC9cMvBD8CsHtkyjISs=/720x720/smart/filters:no_upscale()/mai-tai-720x720-primary-e09e24f1cacd4b3896f5aa32ba51dcdd.jpg
Blue Hawaiian,Footed Pilsner,"Light Rum, 30ml","Blue Curacao, 15ml","Malibu, 30ml","Pineapple Juice, 75ml",,,,,A Wedge of Fresh Pineapple & Maraschino cherry,3,4,Blending,Blue,Yes,https://www.youtube.com/watch?v=m66XKwq61rI,블루 하와이안,,https://www.liquor.com/thmb/eUR1fhZGviNFEbA_FrM8wpcZnBM=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__07__12101312__Blue-Hawaii-720x720-recipe-1c521445b9394786abe8215118baf734.jpg
Hurricane,Hurricane,"Light Rum, 60ml","Myers' Rum, 60ml","Orange Juice, 30ml","Lime Juice, 30ml","Simple Syrup, 15ml","Grenadine, 15ml","Passionfruit Syrup, 15ml",,A Wedge of Fresh Pineapple & Maraschino cherry,2,5,Shake,Orange,No,https://www.youtube.com/watch?v=aIC56QCd8Zc,허리케인,,https://www.liquor.com/thmb/5AXwkLkr2OUx8DufiZv3jSIVoYQ=/735x0/hurricane-720x720-primary-e5b3f57f86904ad39f87c96b1b0e0d1e.jpg
Pina Colada,Footed Pilsner,"Light Rum, 37.5ml","Pi?a Colada Mix, 60ml","Pineapple Juice, 60ml",,,,,,A Wedge of Fresh Pineapple & Maraschino cherry,2,4,Blending,Yellow,Yes,https://www.youtube.com/watch?v=gFx4JcNaS7s,피나 콜라다,,https://www.liquor.com/thmb/zPl7fCzXHeHD8uBo4z194OFRabA=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__02__13090826__pina-colada-720x720-recipe-253f1752769447f6998afd2b9469c24e.jpg
Chi Chi,Hurricane/Specialty,"Vodka, 30ml","Coconut Cream, 30ml","Pineapple Juice, 60ml",,,,,,A Wedge of Fresh Pineapple & Maraschino cherry,2,4,Blending,Yellow,No,https://www.youtube.com/watch?v=P2ILNSBZWgQ,피피,,http://thumbnail.egloos.net/600x0/http://pds17.egloos.com/pds/200908/29/40/e0059340_4a98a4dfc03dd.jpg
B-52,Sherry,"Kahlua, 15ml","Baileys, 15ml","Grand Marnier, 15ml",,,,,,Fire!!!!!!,4,4,Float,"Brown, White, Orange",Yes,https://www.youtube.com/watch?v=X1_snYQJjFY,비-52,,https://www.liquor.com/thmb/4m10hhFFUocKsj2syDnkWXFppqY=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2016__12__05144234__B52-shot-720sq-a7c7feadc9bb46098c21ae11442ccc64.jpg
Mudslide,Sour,"Kahlua, 30ml","Vodka, 30ml","Baileys, 45ml",,,,,,Chocolate Powder and Chocolate Syrup,4,4,Shake,Beige,No,https://www.youtube.com/watch?v=snAsfprZx8c,머드슬라이드,,https://mrbcooks.com/wp-content/uploads/2018/08/Mudslide-1.jpg
Lemon Drop,Martini,"Vodka, 30ml","Triple Sec, 15ml","Lemon Juice, 22.5ml",,,,,,Rimming with Sugar,3,2,Shake,Yellow,No,https://www.youtube.com/watch?v=IUFQN54mAfw,"레몬 드롭, 레몬 드랍",,https://www.liquor.com/thmb/ObYs2E8bCfEEM4rA3hVB51W_p74=/720x720/smart/filters:no_upscale()/lemon-drop-720x720-primary-28bff9ae20eb49a1acdeb9221c5ff8e2.jpg
Kamikaze Shot,Shot,"Vodka, 15ml","Triple Sec, 7.5ml","Lime Juice, 7.5ml",,,,,,,3,2,Shake,White,No,https://www.youtube.com/watch?v=3ReKyBuci70,카미카제,,https://www.liquor.com/thmb/LiNF6YFAmTYdps-F5TgA8V7UVLo=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__08__05121040__Kamikaze-720-720-recipe-7777fbacae9243e585eb990e48337913.jpg
Orgasm,Hurricane,"Kahlua, 30ml","Baileys, 30ml","Baileys, 30ml",,,,,,Whipped Cream,3,4,Shake,White,No,https://www.youtube.com/watch?v=GLoGjlx5Pbc,오르가즘,,https://makemeacocktail.com/images/cocktails/3744/orgasm-cocktail.jpg
Slippery Nipple,Shot,"Sambuca, 15ml","Baileys, 15ml",,,,,,,,3,3,Float,"Beige, Colorless",No,https://www.youtube.com/watch?v=G_y7dtUhcAQ,슬리퍼리 니플,,https://cdn.diffords.com/contrib/stock-images/2017/8/19/2017d2104792919dcf1ca1e1a55d9fbbe06c.jpg
Buttery Nipple,Shot,"Butterscotch Schnapps, 15ml","Baileys, 15ml",,,,,,,,3,3,Build,Beige,No,https://www.youtube.com/watch?v=2-RkdER2De8,버터리 니플,,"https://images.cocktailflow.com/v1/cocktail/w_300,h_540/cocktail_buttery_nipple-1.png"
Liquid Cocaine,Shot,"Jagermeister, 15ml","Goldschlager, 15ml","Overproof Rum, 15ml",,,,,,,5,2,Shake,Brown,No,https://www.youtube.com/watch?v=oG0KJ9H63Oc,리퀴드 코카인,,"https://images.cocktailflow.com/v1/cocktail/w_300,h_540/cocktail_liquid_cocaine-1.png"
Oatmeal Cookie,Shot,"Butterscotch Schnapps, 15ml","Baileys, 15ml","Jagermeister, 15ml","Goldschlager, 15ml",,,,,,4,3,Shake,Beige,No,https://www.youtube.com/watch?v=i3uFN41Vwd0,오트밀 쿠키,,https://www.thespruceeats.com/thmb/98Hccq3wfj-GkkP8EHuoY8dNC1I=/400x300/filters:no_upscale():max_bytes(150000):strip_icc()/buttery-nipple-recipe-759610-hero-01-dccecd3f977c459295e3cd892c10c245.jpg
Blowjob,Shot,"Baileys, 15ml","Amaretto, 15ml","Frangelico, 15ml",,,,,,Whipped Cream,4,4,Shake,Beige,No,https://www.youtube.com/watch?v=IlouvXNILwQ,블로우잡,,https://craftybartending.com/wp-content/uploads/2018/04/Blowjob-shot.jpg
GoChang,Champagne,"Sunwoonsan Bokbunja Wine, 60ml","Cointreau or Triple Sec, 30ml","7 up, 60ml",,,,,,,3,3,Stir,Red,Yes,https://www.youtube.com/watch?v=YJ6Nr3uNRoQ,고창,,https://www.beveragemaster.kr/files/attach/images/15033/282/015/0c6b408dd17869696a2f52c17d8f1709.jpg
Healing ,Martini,"Gam Hong Ro, 45ml","Benedictine, 10ml","Sweet and Sour mix, 10ml",,,,,,Lemon Peel,3,3,Shake,Red,Yes,https://www.youtube.com/watch?v=jO8Q-qVsFVU,힐링,,https://www.beveragemaster.kr/files/attach/images/15033/280/015/91bcc5022c178f7d97ead149651a877a.jpg
Puppy Love,Martini,"Andong Soju, 30ml","Triple Sec, 10ml","Apple Liqueur, 30ml","Lime Juice, 10ml",,,,,Apple Slice,2,2,Shake,Green,Yes,https://www.youtube.com/watch?v=FN__tYZtz80,"퍼피 러브, 풋사랑",,https://www.beveragemaster.kr/files/attach/images/15033/278/015/74df4eaae76e39d244ac1b630d4f66fd.jpg
Jindo,Martini,"Jindo Hong Ju, 30ml","Creme de Menthe White, 15ml","White Grape Juice, 22.5ml","Lime Juice, 10ml",,,,,,2,3,Shake,Red,Yes,https://www.youtube.com/watch?v=ZwX65Auj8R0,진도,,https://www.beveragemaster.kr/files/attach/images/15033/276/015/42a204b229fa3a41e1d1b1506cf199d7.jpg
Geumsan,Martini,"Geumsan Insamju, 45ml","Kahlua, 15ml","Apple Liqueur, 15ml","Lime Juice, 1 Step",,,,,,2,3,Shake,Brown,Yes,https://www.youtube.com/watch?v=59aQhwqVReE,금산,,https://www.beveragemaster.kr/files/attach/images/15033/274/015/9d3dec06e4d09ea33f637b7fe0582f1c.jpg
Kir,Wine,"White Wine, 90ml",Creme de Cassis. 15ml,,,,,,,Lemon Peel,3,3,Build,Red,Yes,https://www.youtube.com/watch?v=XD9P7baEqX4,키르,,https://www.beveragemaster.kr/files/attach/images/15033/272/015/963e2d09b998ce0d0bacb2ef72533d55.jpg
Pousse Cafe,Stemed Liqueur,"Brandy, 20ml","Creme de Menthe Green, 20ml","Grenadine, 20ml",,,,,,,3,4,Float,"Red, Green, Yellow",Yes,https://www.youtube.com/watch?v=Qn2kN4j5aBw,푸스 카페,,https://www.beveragemaster.kr/files/attach/images/15033/220/015/9b12fd73dbdc39a974af321a047073f9.jpg
Apricot ,Martini,"Apricot-Flavored Brandy, 45ml","Dry Gin, 1 Step","Lemon Juice, 15ml","Orange Juice, 15ml",,,,,,2,2,Shake,Yellow,Yes,https://www.youtube.com/watch?v=ec162DKkwnw,애프리콧,,https://www.beveragemaster.kr/files/attach/images/15033/214/015/a082be6ebebc1987f9d2047a88d995dc.jpg
June Bug,Collins,"Midorl, 30ml","Malibu, 15ml","Banana Liqueur, 15ml","Pineapple Juice, 60ml","Sweet and Sour, 60ml",,,,A Wedge of Fresh Pineapple & Maraschino cherry,2,4,Shake,Green,Yes,https://www.youtube.com/watch?v=8mJDkvCKgLs,준 벅,,https://www.beveragemaster.kr/files/attach/images/15033/210/015/a4e5ae069995d3fe80ca9e0cce96dd08.jpg
New York,Martini,"Burbon, 45ml","Lime Juice, 15ml","Sugar, 1 Step","Grenadine, 0.5 Step",,,,,Lemon Peel,3,3,Shake,Red,Yes,https://www.youtube.com/watch?v=2R6X8xh6aVQ,뉴욕,,https://www.beveragemaster.kr/files/attach/images/15033/222/015/f0cb781cdb71bc38d231b5de82be9918.jpg
Honeymoon,Martini,"Apple Brandy, 22.5ml","Benedictine, 22.5ml","Triple Sec, 7.5ml","Lemon Juice, 15ml",,,,,,3,2,Shake,Yellow,Yes,https://www.youtube.com/watch?v=N9YlKUlakRY,허니문,,https://www.beveragemaster.kr/files/attach/images/15033/236/015/970a4843b29110c9860a846e7c09b1e3.jpg
Sidecar,Martini,"Apple Brandy, 22.5ml","Cointreau, 30ml","Lemon Juice, 7.5ml",,,,,,,3,2,Shake,Yellow,Yes,https://www.youtube.com/watch?v=tTlszhgecrU,사이드카,,https://www.beveragemaster.kr/files/attach/images/15033/232/015/1e80c6d49b0bd892668bd2075dc690f0.jpg
Moscow Mule,Highball?,"Vodka, 45ml","Lemon Juice, 15ml","Gingerale, Fill up",,,,,,Lemon or Lime Slice,3,2,Build,Yellow,Yes,https://www.youtube.com/watch?v=oQUbEIgF0hA,모스코 뮬,,https://www.beveragemaster.kr/files/attach/images/15033/258/015/fd91891ae0d9b49faf450f069bb9240c.jpg
Apple Martini,Martini,"Vodka, 30ml","Apple Liqueur, 30ml","Lime Juice, 15ml",,,,,,Apple Slice,3,2,Shake,Green,Yes,https://www.youtube.com/watch?v=WAasrRGOVEw,애플 마티니,,https://www.beveragemaster.kr/files/attach/images/15033/254/015/550f15458706fff19f6090857dd1010c.jpg
Cosmopolitan,Martini,"Vodka, 30ml","Triple Sec, 15ml","Lime Juice, 15ml","Cranberry Juice, 15ml",,,,,Lemon or Lime Peel,3,2,Shake,Brown,Yes,https://www.youtube.com/watch?v=mLgRe5mthSI,코스모몰리탄,,https://www.beveragemaster.kr/files/attach/images/15033/252/015/9aa594e1221714cbe53cb4afacad9d16.jpg
Kiss of Fire,Martini,"Vodka, 30ml","Sloe Gin, 15ml","Dry Vermouth, 15ml","Lemon Juice, 1 Step",,,,,Rimming with Sugar,4,1,Shake,Brown,Yes,https://www.youtube.com/watch?v=JPnA_EmQMk8,키스 오브 파이어,,https://www.beveragemaster.kr/files/attach/images/15033/250/015/f689af88afbfd9514c6cd5d4de37e482.jpg
